year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2005,43,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.02938377768521,152.83880099118213
2003,49,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.81491318127507,123.33610396205889
2004,58,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.54406804435028,94.07271474570052
2006,31,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.39794000867204,81.28325328425272
2009,40,1. Never Married,2. Black,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.54406804435028,94.07271474570052
2003,44,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.60205999132796,99.68946369848636
2003,63,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.73239375982297,113.56708956975103
2007,42,3. Widowed,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.44715803134222,85.38394037898266
2004,34,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.50514997831991,90.48191335664016
2009,53,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.8750612633917,130.98217737746066
2006,22,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.39794000867204,81.28325328425272
2009,62,2. Married,2. Black,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364,118.8843593398858
2008,37,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.79934054945358,121.43031382262248
2005,34,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.23044892137827,68.74808773376687
2004,37,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.32935719413155,75.89548482281027
2006,39,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.719720651334,112.13692299221417
2003,42,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.44715803134222,85.38394037898266
2006,51,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.17609125905568,176.9896504898766
2008,38,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.62321723414596,276.778413321176
2009,43,5. Separated,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.46239799789896,86.69515482894022
2008,59,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.93601079571521,139.21378813866397
2003,61,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.37106786227174,79.12808449562974
2008,60,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.81291335664286,123.08969984794346
2005,46,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.90308998699194,134.70537511887878
2004,21,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.02118929906994,55.76739050849227
2009,61,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.67209785793572,106.92181409121146
2003,35,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.48784512011144,88.92960663679132
2004,26,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.39794000867204,81.28325328425272
2003,37,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.67209785793572,106.92181409121146
2003,43,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.39794000867204,81.28325328425272
2003,33,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.39794000867204,81.28325328425272
2005,64,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,3.90308998699194,49.55533812152264
2008,35,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.81291335664286,123.08969984794346
2007,45,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.30102999566398,73.77574327469462
2007,48,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.84509804001426,127.11574381218446
2006,51,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.85733249643127,128.68048822062414
2005,49,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.25527250510331,70.47601964694451
2008,34,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.34242268082221,76.89360251761123
2009,50,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.17026171539496,175.96088313040124
2006,37,4. Divorced,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.5910646070265,98.59934386038915
2003,50,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.94939000664491,141.08887439126974
2006,48,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.81291335664286,123.08969984794346
2003,37,2. Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.02118929906994,151.59148423981398
2004,26,1. Never Married,3. Asian,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60205999132796,99.68946369848636
2005,30,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.65321251377534,104.92150653366392
2006,29,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.07918124604763,160.6424754082633
2005,25,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.49415459401844,89.49247951800011
2006,27,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.30102999566398,73.77574327469462
2006,49,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364,118.8843593398858
2007,33,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.44715803134222,85.38394037898266
2006,49,1. Never Married,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.95424250943933,141.7751723331802
2005,39,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.8750612633917,130.98217737746066
2007,25,1. Never Married,4. Other,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.30102999566398,73.77574327469462
2003,39,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.81291335664286,123.08969984794346
2009,62,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.36921585741014,78.98167451629936
2006,56,5. Separated,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.60205999132796,99.68946369848636
2003,46,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.60205999132796,99.68946369848636
2009,26,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.54406804435028,94.07271474570052
2006,43,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.55630250076729,95.23071256698192
2006,53,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77815125038364,118.8843593398858
2004,43,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.5467412584381,256.40064956242526
2006,55,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.39794000867204,81.28325328425272
2007,60,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.02118929906994,55.76739050849227
2009,49,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.32221929473392,75.35567931800914
2006,31,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.77815125038364,43.735111677982104
2009,41,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69897000433602,109.8339856421992
2007,38,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.13353890837022,62.39835472056851
2003,48,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.57978359661681,97.4932940453934
2005,47,5. Separated,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.11394335230684,61.18752643399147
2007,35,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.77815125038364,118.8843593398858
2008,49,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.17609125905568,65.1108537153447
2004,32,3. Widowed,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.65321251377534,104.92150653366392
2009,73,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.50514997831991,90.48191335664016
2006,45,2. Married,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60205999132796,99.68946369848636
2003,42,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,3.47712125471966,32.36641317485487
2003,48,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.69897000433602,109.8339856421992
2007,41,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.70757017609794,110.7826502762544
2008,27,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.53857373380686,93.55726734793063
2004,44,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69897000433602,109.8339856421992
2008,34,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.77815125038364,118.8843593398858
2009,42,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.6232492903979,101.82435207567951
2004,29,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.46239799789896,86.69515482894022
2005,28,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.95424250943933,141.7751723331802
2007,55,2. Married,2. Black,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364,118.8843593398858
2004,56,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.66124460895933,105.76763962275824
2005,41,4. Divorced,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.77815125038364,118.8843593398858
2004,27,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.27875360095283,72.15045568157132
2005,27,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.98227123303957,145.8051633746247
2005,25,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.39794000867204,81.28325328425272
2007,23,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.39724458101039,81.22674631202302
2005,24,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.27875360095283,72.15045568157132
2006,24,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.77815125038364,118.8843593398858
2008,51,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.25527250510331,70.47601964694451
2004,41,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.84509804001426,127.11574381218446
2008,23,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.43136376415899,84.04595765399237
2003,60,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.44715803134222,85.38394037898266
2009,35,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.92348752840002,137.48124783166278
2005,68,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.47712125471966,87.98103278560542
2004,54,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.69897000433602,109.8339856421992
2004,48,2. Married,2. Black,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.44715803134222,85.38394037898266
2005,59,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.39794000867204,81.28325328425272
2007,39,2. Married,4. Other,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.65321251377534,104.92150653366392
2007,43,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.64100585131578,281.74597055185717
2005,57,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.17609125905568,176.9896504898766
2004,53,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.91907809237607,136.87636763518367
2009,42,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.23044892137827,186.87667762800663
2009,58,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.44715803134222,85.38394037898266
2003,33,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.79239168949825,120.58943653040212
2004,56,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.6232492903979,101.82435207567951
2006,37,2. Married,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.69019608002851,108.87452583471249
2009,41,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,3.6534054906645,38.6059145209601
2007,50,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.83884909073726,126.32388070978574
2003,29,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.50514997831991,90.48191335664016
2004,54,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.60688524128857,272.2947832200641
2004,43,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.60688524128857,272.2947832200641
2004,44,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.54406804435028,94.07271474570052
2008,51,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.07918124604763,160.6424754082633
2005,28,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.95424250943933,141.7751723331802
2003,65,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.30102999566398,73.77574327469462
2004,33,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.04139268515822,20.934377940101804
2005,38,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.57978359661681,97.4932940453934
2009,53,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.81291335664286,123.08969984794346
2009,25,1. Never Married,2. Black,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364,118.8843593398858
2003,42,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.56820172406699,96.3706528322308
2006,35,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.84509804001426,127.11574381218446
2009,48,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.63346845557959,102.87024693321467
2009,41,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.54406804435028,94.07271474570052
2003,58,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.65321251377534,104.92150653366392
2003,33,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.85733249643127,128.68048822062414
2008,30,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.55630250076729,95.23071256698192
2005,44,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77539197169661,118.55677641507027
2009,58,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.74036268949424,114.47571329034716
2004,45,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.01072386539177,150.01328628271014
2005,35,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.50514997831991,90.48191335664016
2006,61,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.8750612633917,130.98217737746066
2005,45,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.47712125471966,87.98103278560542
2005,39,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.43136376415899,84.04595765399237
2009,26,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.07918848422867,160.64363817179108
2003,20,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.07918124604763,59.097064081589075
2007,49,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.47712125471966,87.98103278560542
2005,61,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.96848294855393,143.80855682436928
2004,45,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.60688524128857,272.2947832200641
2005,23,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.17609125905568,65.1108537153447
2008,43,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.65321251377534,104.92150653366392
2005,40,4. Divorced,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.17609125905568,65.1108537153447
2004,38,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.17609125905568,176.9896504898766
2005,30,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.65321251377534,104.92150653366392
2005,51,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69897000433602,109.8339856421992
2006,35,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.32014628611105,75.1996281485946
2003,47,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.98677173426625,146.46283851506294
2009,35,5. Separated,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.30102999566398,73.77574327469462
2007,50,2. Married,3. Asian,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.77815125038364,118.8843593398858
2007,45,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.8750612633917,130.98217737746066
2003,47,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.21748394421391,184.46946422249857
2008,39,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.85733249643127,128.68048822062414
2007,44,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364,118.8843593398858
2003,52,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.52353837170365,92.16112203234955
2006,56,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.69897000433602,109.8339856421992
2006,53,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.60205999132796,99.68946369848636
2004,56,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.09691001300806,163.51586397623814
2005,49,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.27875360095283,72.15045568157132
2009,50,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.23044892137827,186.87667762800663
2009,24,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.19312459835446,66.2294082943902
2003,25,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.39794000867204,81.28325328425272
2003,38,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.04139268515823,154.68529299563002
2005,52,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.47712125471966,87.98103278560542
2004,42,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.67209785793572,106.92181409121146
2006,61,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.27875360095283,196.12527259425497
2008,45,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.30102999566398,200.543262324662
2007,25,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.65321251377534,104.92150653366392
2003,54,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5,148.4131591025766
2003,25,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.50514997831991,90.48191335664016
2007,51,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.74036268949424,114.47571329034716
2007,32,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.56820172406699,96.3706528322308
2004,43,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.30102999566398,200.543262324662
2004,51,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.81291335664286,123.08969984794346
2004,39,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.69897000433602,109.8339856421992
2007,37,4. Divorced,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.81291335664286,123.08969984794346
2004,47,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.60688524128857,272.2947832200641
2005,37,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.69897000433602,109.8339856421992
